current_path,method,router_prefix,route_path,file,line
/api/v1/services/plans/{plan_id}/activate,PATCH,/services/plans,/{plan_id}/activate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,159
/api/v1/services/plans/{plan_id}/deactivate,PATCH,/services/plans,/{plan_id}/deactivate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,185
/api/v1/services/provisioning/provisioning,POST,/services/provisioning,/provisioning,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,41
/api/v1/services/provisioning/provisioning,GET,/services/provisioning,/provisioning,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,67
/api/v1/services/provisioning/provisioning/bulk-create,POST,/services/provisioning,/provisioning/bulk-create,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,613
/api/v1/services/provisioning/provisioning/bulk-start,POST,/services/provisioning,/provisioning/bulk-start,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,639
/api/v1/services/provisioning/provisioning/health,GET,/services/provisioning,/provisioning/health,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,714
/api/v1/services/provisioning/provisioning/queue,GET,/services/provisioning,/provisioning/queue,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,471
/api/v1/services/provisioning/provisioning/queue/process,POST,/services/provisioning,/provisioning/queue/process,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,494
/api/v1/services/provisioning/provisioning/statistics,GET,/services/provisioning,/provisioning/statistics,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,546
/api/v1/services/provisioning/provisioning/templates,POST,/services/provisioning,/provisioning/templates,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,336
/api/v1/services/provisioning/provisioning/templates,GET,/services/provisioning,/provisioning/templates,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,358
/api/v1/services/provisioning/provisioning/templates/{template_id},GET,/services/provisioning,/provisioning/templates/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,395
/api/v1/services/provisioning/provisioning/templates/{template_id},PUT,/services/provisioning,/provisioning/templates/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,416
/api/v1/services/provisioning/provisioning/templates/{template_id},DELETE,/services/provisioning,/provisioning/templates/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,444
/api/v1/services/provisioning/provisioning/templates/{template_id}/test,POST,/services/provisioning,/provisioning/templates/{template_id}/test,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,686
/api/v1/services/provisioning/provisioning/templates/{template_id}/validate,POST,/services/provisioning,/provisioning/templates/{template_id}/validate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,665
/api/v1/services/provisioning/provisioning/{provisioning_id},GET,/services/provisioning,/provisioning/{provisioning_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,117
/api/v1/services/provisioning/provisioning/{provisioning_id},PUT,/services/provisioning,/provisioning/{provisioning_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,138
/api/v1/services/provisioning/provisioning/{provisioning_id}/cancel,POST,/services/provisioning,/provisioning/{provisioning_id}/cancel,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,250
/api/v1/services/provisioning/provisioning/{provisioning_id}/pause,POST,/services/provisioning,/provisioning/{provisioning_id}/pause,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,196
/api/v1/services/provisioning/provisioning/{provisioning_id}/priority,POST,/services/provisioning,/provisioning/{provisioning_id}/priority,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,514
/api/v1/services/provisioning/provisioning/{provisioning_id}/resume,POST,/services/provisioning,/provisioning/{provisioning_id}/resume,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,224
/api/v1/services/provisioning/provisioning/{provisioning_id}/retry,POST,/services/provisioning,/provisioning/{provisioning_id}/retry,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,278
/api/v1/services/provisioning/provisioning/{provisioning_id}/rollback,POST,/services/provisioning,/provisioning/{provisioning_id}/rollback,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,304
/api/v1/services/provisioning/provisioning/{provisioning_id}/start,POST,/services/provisioning,/provisioning/{provisioning_id}/start,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,170
/api/v1/services/provisioning/provisioning/{provisioning_id}/status-history,GET,/services/provisioning,/provisioning/{provisioning_id}/status-history,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,567
/api/v1/services/provisioning/provisioning/{provisioning_id}/tasks,GET,/services/provisioning,/provisioning/{provisioning_id}/tasks,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_provisioning.py,588
/api/v1/services/radius/{service_id}/{service_type},GET,/services,/radius/{service_id}/{service_type},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,382
/api/v1/services/search,GET,/services,/search,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,328
/api/v1/services/templates/templates,POST,/services/templates,/templates,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,47
/api/v1/services/templates/templates,GET,/services/templates,/templates,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,69
/api/v1/services/templates/templates/available,GET,/services/templates,/templates/available,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,514
/api/v1/services/templates/templates/bundle,POST,/services/templates,/templates/bundle,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,433
/api/v1/services/templates/templates/bundle,GET,/services/templates,/templates/bundle,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,455
/api/v1/services/templates/templates/bundle/{template_id},GET,/services/templates,/templates/bundle/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,489
/api/v1/services/templates/templates/export,GET,/services/templates,/templates/export,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,591
/api/v1/services/templates/templates/import,POST,/services/templates,/templates/import,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,560
/api/v1/services/templates/templates/internet,POST,/services/templates,/templates/internet,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,234
/api/v1/services/templates/templates/internet,GET,/services/templates,/templates/internet,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,256
/api/v1/services/templates/templates/internet/{template_id},GET,/services/templates,/templates/internet/{template_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_templates.py,296
